ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P_5YMAS,P_12YMAS,P_15YMAS,P_18YMAS
10,Durango,010,Hidalgo,0000,Total del Municipio,3542,3085,2874,2701
10,Durango,011,Indé,0000,Total del Municipio,4322,3750,3517,3310
10,Durango,012,Lerdo,0000,Total del Municipio,148747,127848,119126,110137
10,Durango,013,Mapimí,0000,Total del Municipio,23857,19797,18187,16623
10,Durango,014,Mezquital,0000,Total del Municipio,41201,31172,27142,23694
10,Durango,015,Nazas,0000,Total del Municipio,11749,9908,9182,8517
10,Durango,016,Nombre de Dios,0000,Total del Municipio,17359,14771,13723,12684
10,Durango,017,Ocampo,0000,Total del Municipio,7370,6484,6073,5694
10,Durango,018,El Oro,0000,Total del Municipio,9503,8308,7793,7319
10,Durango,019,Otáez,0000,Total del Municipio,4355,3597,3281,2996
10,Durango,020,Pánuco de Coronado,0000,Total del Municipio,11573,10048,9382,8741
10,Durango,021,Peñón Blanco,0000,Total del Municipio,10097,8499,7872,7278
10,Durango,022,Poanas,0000,Total del Municipio,23365,20094,18626,17254
10,Durango,023,Pueblo Nuevo,0000,Total del Municipio,45396,36957,33473,30271
10,Durango,024,Rodeo,0000,Total del Municipio,11589,9793,9041,8379
10,Durango,025,San Bernardo,0000,Total del Municipio,2633,2347,2209,2090
10,Durango,026,San Dimas,0000,Total del Municipio,15463,12838,11702,10703
10,Durango,027,San Juan de Guadalupe,0000,Total del Municipio,4777,4075,3775,3465
10,Durango,028,San Juan del Río,0000,Total del Municipio,10867,9118,8471,7933
10,Durango,029,San Luis del Cordero,0000,Total del Municipio,1891,1613,1508,1392
10,Durango,030,San Pedro del Gallo,0000,Total del Municipio,1491,1294,1228,1138
10,Durango,031,Santa Clara,0000,Total del Municipio,6061,5151,4776,4450
10,Durango,032,Santiago Papasquiaro,0000,Total del Municipio,44515,37803,35124,32594
10,Durango,033,Súchil,0000,Total del Municipio,6250,5270,4871,4519
10,Durango,034,Tamazula,0000,Total del Municipio,23083,18860,17101,15501
10,Durango,035,Tepehuanes,0000,Total del Municipio,10398,8917,8330,7772
10,Durango,036,Tlahualilo,0000,Total del Municipio,19040,16109,14888,13712
10,Durango,037,Topia,0000,Total del Municipio,8245,6830,6252,5756
10,Durango,038,Vicente Guerrero,0000,Total del Municipio,21174,18093,16872,15642
10,Durango,039,Nuevo Ideal,0000,Total del Municipio,25107,20865,19093,17464
